stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\tyler\Desktop\graphical-editor\x64\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.06008] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.06012] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06017] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.06022] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06027] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.06032] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06040] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.06044] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06049] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.06054] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06058] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.06063] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06068] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.06072] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06077] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.06082] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06087] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.06091] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06096] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.06101] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06106] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.06110] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06115] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.06119] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06124] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.06129] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06134] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.06138] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06143] Score is : 712
